Year,Russia
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,1
1962,1
1963,0
1964,9
1965,14
1966,18
1967,17
1968,17
1969,19
1970,16
1971,23
1972,24
1973,17
1974,21
1975,19
1976,21
1977,24
1978,31
1979,31
1980,24
1981,21
1982,19
1983,25
1984,27
1985,10
1986,0
1987,23
1988,16
1989,7
1990,1
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0