Emitter Name,C02,Trees needed,,,https://www.carbonfootprint.com/energyconsumption.html
meat,8500.12,177.0858333,,,http://css.umich.edu/factsheets/carbon-footprint-factsheet
dairy,3375.05,70.31354167,,,https://www.planetaid.org/blog/new-study-focuses-on-clothing-consumption-and-climate-impacts
"fish, poultry, seafood, eggs",2482.18,51.71208333,,,https://www.epa.gov/greenvehicles/greenhouse-gas-emissions-typical-passenger-vehicle
"sugar, fat, oil, sweetener",1339.3,27.90208333,,,https://slate.com/news-and-politics/2009/08/are-you-heating-the-planet-when-you-breathe.html
vegetable,875.01,18.229375,,,
fruit,642.87,13.393125,,,
grain,535.72,11.16083333,,,https://www.eia.gov/environment/emissions/state/
other foods,89.29,1.860208333,,,https://bugwoodcloud.org/bugwood/productivity/pdfs/Jx_WOODLAND_MANAGEMENT_Trees_per_Acre_Spacing_Dist_CODER_2017.pdf
washing machine,51,1.0625,,,
dryer,159,3.3125,,,"scarlet oaks need 20 feet minimun spacing, which would equal around 109 trees per acre."
gas oven,38,0.7916666667,,,
standard light bulb,1100,22.91666667,,,
Low energy bulb,198,4.125,,,
Fridge with freezer,175,3.645833333,,,"Estimates vary widely, but the average American householdâ€™s annual carbon footprint is around 22 metric tons."
Passenger car,10141,211.2708333,,,https://www.ehow.com/how_7333275_close-plant-oak-trees.html
clothing,975,20.3125,,,https://ourworld.unu.edu/en/uncovering-the-carbon-footprint-of-everything
breathing,839,17.47916667,,,from book HOW BAD ARE BANANAS?
tap water,52,1.083333333,,,
6 hr a day desktop,47,0.9791666667,,,
6 hr a day laptop,255,5.3125,,,subway
cell phone 3 hr day,2760,57.5,,,https://www.governing.com/gov-data/transportation-infrastructure/commute-time-averages-drive-public-transportation-bus-rail-by-metro-area.html
hotel night avg,53,1.104166667,,,https://gothamist.com/arts-entertainment/how-fast-can-a-subway-train-go
hotel night luxe,132,2.75,,,https://www.wired.com/2017/03/keep-riding-subway-means-know-not-green-think/
congested commute,49,1.020833333,,,
cogested commute everyday,12740,265.4166667,,,
a 4x4 carpet thin,168,3.5,,,recycling
A 4x4 carpet wool,639,13.3125,,,https://www.anthropocenemagazine.org/2019/05/reducing-the-carbon-footprint-of-plastic-is-doable-but-not-easy/
400 miles Plane,"1,100",22.91666667,,,
christmas excess average,617,12.85416667,,,toilet paper
christmas excess large,3300,68.75,,,https://www.amazon.com/Quilted-Northern-Toilet-Supreme-Regular/dp/B01B5KAAUS
gold necklace,440,9.166666667,,,
gold and diamond necklace,880,18.33333333,,,driving
a daily bath,1050,21.875,,,https://www.autogravity.com/autogravitas/money/whats-average-miles-driven-per-year-car-lease-guide
toilet paper per year,165,3.4375,,,
dishwasher,176,3.666666667,,,shower
trash/recyling,880,18.33333333,,,https://kutv.com/news/local/americans-use-17-trillion-gallons-of-water-per-year-showering-report-says
LA to Barcelona,9200,191.6666667,,,https://www.home-water-works.org/indoor-use/showers
Smart car,12000,250,,,
Range Rover,70000,1458.333333,,,heating
,,,,,https://money.cnn.com/2014/06/04/real_estate/american-home-size/
,,,,,https://www.electricchoice.com/blog/electricity-on-average-do-homes/