emitter name,co2 lbs,trees,,
breathing,839,17.47916667,,
tap water,52,1.083333333,,
subway,910,18.95833333,,
trash/recyling,880,18.33333333,,371.6570833
economy dishwasher,177,3.6875,,
virgin toilet paper,160,3.333333333,,
driving in 22 mpg,25602,533.375,,
meat,8500.12,177.0858333,,
dairy,3375.05,70.31354167,,
"fish, poultry, seafood, eggs",2482.18,51.71208333,,
"sugar, fat, oil, sweetener",1339.3,27.90208333,,
vegetable,875.01,18.229375,,
fruit,642.87,13.393125,,
grain,535.72,11.16083333,,
other foods,89.29,1.860208333,,
shower 8.2 min 6 a week,582,12.125,,
Laundry 2 week,548,11.41666667,,
yearly clothes,975,20.3125,,
leaving lights on LED,198,4.125,,
cellphone 1 hour,2760,57.5,,
400 mile trip - small car,728,15.16666667,,
6 hours a day laptop,47,0.9791666667,,
LA to Barcelona average class,9200,191.6666667,,
,,1278 trees,,
,,1281.19875,,